time(seconds),# activatory proteins,# repressory proteins,# Q proteins,# Qc proteins
18600,102.0196128,38.29287241,100.2824621,9.08E-27
18630,100.5706907,37.56064315,100.2849058,5.20E-27
18660,99.15440202,36.84393293,100.2838138,2.98E-27
18690,97.76782556,36.14244006,100.2830838,1.71E-27
18720,96.4113068,35.45581411,100.28553,9.75E-28
18750,95.08218855,34.78375678,100.2850414,5.57E-28
18780,93.77980681,34.12593914,100.2846643,3.18E-28
18810,92.50321757,33.48206739,100.2877072,1.81E-28
18840,91.25050528,32.85183453,100.2869038,1.03E-28
18870,90.02142704,32.23495498,100.286494,5.87E-29
18900,88.81428824,31.6311265,100.2880269,3.34E-29
18930,87.62777243,31.03994676,100.286109,1.90E-29
18960,86.46240039,30.46144358,100.2849262,1.08E-29
18990,85.31609767,29.89522785,100.2843813,6.11E-30
19020,84.18907506,29.34094497,100.2798921,3.46E-30
19050,83.07925357,28.79839481,100.2741433,1.96E-30
19080,81.98545563,28.26729377,100.2684259,1.11E-30
19110,80.90893269,27.74741459,100.2635118,6.26E-31
19140,79.84791812,27.23852095,100.2607798,3.53E-31
19170,78.800606,26.74037988,100.2607177,1.99E-31
19200,77.76824468,26.25276535,100.2618979,1.12E-31
19230,76.74902282,25.77545356,100.2621239,6.33E-32
19260,75.74152689,25.30823203,100.262757,3.56E-32
19290,74.74656615,24.85088955,100.2626663,2.00E-32
19320,73.76432896,24.40322004,100.2647644,1.12E-32
19350,72.79328911,23.96501815,100.2644556,6.30E-33
19380,71.83134491,23.53594266,100.2648261,3.53E-33
19410,70.88083571,23.11614138,100.2653602,1.98E-33
19440,69.9395776,22.70530132,100.2661264,1.11E-33
19470,69.00776135,22.30311386,100.2672781,6.20E-34
19500,68.08432821,21.90945543,100.267346,3.46E-34
19530,67.16944319,21.52416332,100.2687503,1.93E-34
19560,66.26275665,21.1470668,100.2688995,1.08E-34
19590,65.36382533,20.77800177,100.2697826,6.00E-35
19620,64.47254301,20.4168116,100.269776,3.34E-35
19650,63.58817131,20.06334175,100.2707777,1.86E-35
19680,62.71040111,19.71743702,100.2721585,1.03E-35
19710,61.83901372,19.37895219,100.2731711,5.74E-36
19740,60.97373947,19.0477421,100.2741334,3.18E-36
19770,60.11435265,18.72366389,100.273436,1.76E-36
19800,59.26072941,18.40657442,100.2742178,9.77E-37
19830,58.41136562,18.09617017,100.2740604,5.41E-37
19860,57.56787464,17.79267207,100.2746331,2.99E-37
19890,56.72980681,17.49581973,100.2770504,1.65E-37
19920,55.89621735,17.20545825,100.2766436,9.12E-38
19950,55.0678418,16.92144265,100.2781864,5.03E-38
19980,54.24372406,16.64362426,100.2775177,2.77E-38
20010,53.4242949,16.37190668,100.2788305,1.53E-38
